company,Date,Open,High,Low,Close,Adj Close,Volume
TCS,7/13/2020,2220,2244.949951,2210,2220,2073.372559,2963503
TCS,7/14/2020,2210,2239,2165,2171.949951,2028.495728,2976738
TCS,7/15/2020,2185,2260,2181.100098,2233.899902,2086.354248,5569321
TCS,7/16/2020,2244,2333,2220.100098,2234.75,2091.829834,8582118
TCS,7/17/2020,2237,2243.899902,2190.050049,2200.75,2060.00415,4509135
TCS,7/20/2020,2201,2226.899902,2190.800049,2207.899902,2066.696777,2952646
TCS,7/21/2020,2230,2238.649902,2201.149902,2225.050049,2082.75,2665286
TCS,7/22/2020,2231,2231,2184.199951,2190.949951,2050.831299,2861534
TCS,7/23/2020,2190.949951,2190.949951,2163,2171.199951,2032.343872,2265766
TCS,7/24/2020,2154.5,2163,2125.100098,2157.399902,2019.42627,3665100
TCS,7/27/2020,2165,2215,2163.5,2206.800049,2065.667236,4248480
TCS,7/28/2020,2215,2320,2215,2309.75,2162.033691,8092319
TCS,7/29/2020,2292,2342,2246.050049,2276.050049,2130.48877,6090431
TCS,7/30/2020,2285.899902,2358,2272.25,2279.5,2133.718018,7098496
TCS,7/31/2020,2303.149902,2334.800049,2257.449951,2281.399902,2135.496338,4723290
TCS,8/3/2020,2290.449951,2303.850098,2230.699951,2254.149902,2109.989014,4012337
TCS,8/4/2020,2259.949951,2269.649902,2225.050049,2249.699951,2105.823975,2927928
TCS,8/5/2020,2260,2300,2253,2259.5,2114.997314,3800641
TCS,8/6/2020,2275,2319.5,2265.350098,2308.100098,2160.489014,4748047
TCS,8/7/2020,2308,2328,2287,2295.350098,2148.554199,3165491
TCS,8/10/2020,2318,2325,2276.050049,2282.800049,2136.806885,2929353
TCS,8/11/2020,2283,2312,2275.600098,2279.899902,2134.092285,2774423
TCS,8/12/2020,2288.350098,2296.399902,2246.550049,2257.350098,2112.984619,3415751
TCS,8/13/2020,2273,2300,2250.5,2254.449951,2110.27002,2695682
TCS,8/14/2020,2277,2281.300049,2233.100098,2242.149902,2098.756592,2270405
TCS,8/17/2020,2263,2270,2238.25,2253.399902,2109.287354,2625630
TCS,8/18/2020,2262.800049,2289,2248.300049,2269.75,2124.591797,3493374
TCS,8/19/2020,2276.350098,2284.600098,2252.5,2256.600098,2112.282715,2843005
TCS,8/20/2020,2257,2276.550049,2240.050049,2252.850098,2108.772461,2895164
TCS,8/21/2020,2260,2271,2241.050049,2248.600098,2104.794434,1975294
TCS,8/24/2020,2250.600098,2259.949951,2230,2248.100098,2104.326172,2167966
TCS,8/25/2020,2245,2250,2233.550049,2242.649902,2099.224854,1663419
TCS,8/26/2020,2242,2259.899902,2216.449951,2253.5,2109.380615,2618149
TCS,8/27/2020,2266,2287.350098,2241.75,2248.399902,2104.606689,3579393
TCS,8/28/2020,2268.399902,2279.949951,2235.100098,2238.550049,2095.387207,2941136
TCS,8/31/2020,2240,2276.199951,2228,2257.25,2112.890625,6018154
TCS,9/1/2020,2269,2278,2241.300049,2246.350098,2102.688232,3610908
TCS,9/2/2020,2247,2268.75,2241.649902,2265.149902,2120.286133,2084137
TCS,9/3/2020,2268,2324,2268,2299.5,2152.439209,4654146
TCS,9/4/2020,2275,2324.25,2262.949951,2288.800049,2142.42334,5231303
TCS,9/7/2020,2289,2343.5,2283.350098,2327.050049,2178.227051,4620401
